cf-s,cf-w,pos_sr-s,pos_sr-w,neg_sr-s,neg_sr-w
858.0,1148.0,0.278,0.1152,0.0987,0.0333
71.5,104.5,0.32,0.1331,0.0933,0.0363
3291.5,9292.5,0.4571,0.2083,0.1771,0.0499
329.0,449.0,0.3947,0.1711,0.2018,0.0578
1951.0,2331.5,0.2287,0.0951,0.1011,0.0361
5256.5,8944.25,0.4688,0.1025,0.1641,0.029
2735.5,3685.0,0.3434,0.1414,0.208,0.059
260.67,262.0,0.2703,0.1155,0.1351,0.0528
3129.25,5142.75,0.3306,0.1331,0.1532,0.0436
2528.0,3166.0,0.25,0.13,0.1514,0.0527
586.67,956.67,0.296,0.1344,0.152,0.0485
30.5,48.5,0.2985,0.1368,0.0896,0.0316
323.33,327.33,0.2195,0.0918,0.0366,0.0145
526.0,779.33,0.3301,0.1298,0.0874,0.0229
388.0,452.0,0.197,0.0942,0.0909,0.0332
1005.5,3082.0,0.3657,0.1719,0.1003,0.0369
1995.33,3412.67,0.3425,0.1491,0.1397,0.0494
832.0,940.67,0.3132,0.1359,0.0879,0.034
546.67,764.67,0.2845,0.1373,0.069,0.0224
1586.0,2259.33,0.4072,0.1479,0.1437,0.042
3779.33,6044.0,0.3906,0.1847,0.1852,0.0609
455.0,2554.5,0.3443,0.1815,0.1311,0.0375
259.33,334.67,0.3371,0.1673,0.0787,0.0279
1389.0,1810.0,0.4147,0.1445,0.124,0.0341
1513.25,2207.25,0.3102,0.1186,0.1429,0.0512
1503.33,3340.67,0.3346,0.1957,0.1141,0.036
722.0,1213.33,0.275,0.1058,0.1083,0.0361
488.0,634.0,0.1638,0.0661,0.096,0.0372
