id,size,total_mins,ags
1.Blue.1,4,15.95,32.0
2.Pink.1,4,14.72,28.0
3.Pink.1,4,10.03,42.0
4.Pink.1,4,14.93,33.0
5.Blue.1,4,15.12,23.0
6.Pink.1,5,12.48,46.0
7.Pink.1,3,14.11,48.0
8.Yellow.1,5,15.12,27.0
9.Blue.1,3,14.86,23.0
10.Green.1,4,11.07,28.0
11.Pink.1,3,6.87,48.0
12.Pink.1,3,10.5,48.0
13.Green.1,4,15.08,36.0
14.Green.1,4,14.96,34.0
15.Blue.1,4,8.67,24.0
16.Green.1,4,14.96,26.0
17.Green.1,3,14.97,34.0
18.Orange.1,4,9.78,34.0
19.Pink.1,3,15.05,25.0
20.Orange.1,4,15.11,40.0
21.Green.1,5,15.2,36.0
22.Pink.1,5,14.97,57.0
