aoa_var,cnc_var,fam_var,img_var,pps_wcv,total_w_var,simple_w_var,1p_pron_sing_var,3p_pron_var,art_var,neg_w_var,neg_var,pt_wcv
952.9,94.01,14.44,65.98,4509.32,92838.75,75320.25,405.19,61.69,521.19,24.25,63.69,676940.0
336.09,36.36,2.31,42.24,1667.99,9316.5,9118.25,123.5,38.0,76.25,7.5,19.25,74797.0
44.41,38.13,6.22,42.4,524.62,26703.69,22050.69,135.69,16.69,52.69,2.19,3.69,195861.25
167.72,110.23,0.35,57.79,1344.36,89766.69,77708.25,421.25,62.69,432.5,8.19,52.19,673807.0
179.58,31.67,1.08,22.66,940.0,188380.19,146567.25,761.25,137.19,330.19,35.19,49.5,1345043.0
1252.18,86.43,62.9,127.0,7642.55,98716.16,80925.36,222.56,80.0,245.36,65.36,57.04,901559.2
35.62,51.21,0.48,42.88,390.59,13334.22,10758.22,96.22,8.67,36.22,24.22,9.56,72802.0
659.69,85.55,19.06,69.18,4167.38,7403.44,4721.04,26.24,22.16,113.76,10.8,18.56,61580.0
35.11,10.61,0.26,7.02,159.01,160686.89,124592.89,850.89,32.67,550.22,54.89,64.89,860500.0
490.4,26.02,5.87,14.88,2148.67,41198.75,31048.69,48.5,33.69,136.25,17.25,11.69,289979.25
76.95,42.98,2.5,15.76,414.57,22784.89,18192.89,59.56,18.0,54.89,9.56,0.22,123360.0
210.44,6.28,3.42,0.83,662.9,2736.22,2369.56,42.89,6.22,10.89,0.89,2.89,15508.67
68.85,640.68,43.2,574.44,5308.69,152689.25,128600.25,474.19,156.25,604.25,70.25,108.69,1130812.5
15.59,45.3,7.25,51.57,478.84,192360.5,163304.19,571.25,138.19,829.69,57.5,67.19,1429314.0
908.14,43.35,7.33,69.09,4111.65,34008.25,28265.0,105.25,18.69,228.25,42.69,7.19,250701.25
50.89,94.99,0.79,102.16,995.29,67601.0,54916.25,71.5,94.25,253.69,38.19,5.25,491920.5
273.1,153.14,23.61,171.27,1863.33,149780.22,114160.22,464.89,224.0,473.56,192.89,139.56,796306.0
85.06,79.35,8.49,113.94,1147.36,81123.5,71156.0,165.69,93.69,131.19,10.69,20.69,610805.75
182.33,41.39,11.6,29.5,794.48,221952.89,181248.67,1164.22,116.22,962.67,18.67,48.22,1216534.67
78.55,95.73,30.35,93.99,1194.47,118782.69,106825.5,450.0,221.69,348.5,37.5,18.5,906737.5
140.4,177.19,15.4,204.59,2687.92,183510.0,150050.16,537.04,342.16,631.36,40.64,20.8,1675660.8
139.26,76.37,6.19,116.12,1689.71,56116.96,45478.64,66.64,37.76,370.24,15.44,6.0,510458.4
